image_path,emotion,cluster
happiness/img_10796.png,happiness,2
happiness/img_7948.png,happiness,0
happiness/img_10477.png,happiness,0
happiness/img_27402.png,happiness,0
happiness/img_11955.png,happiness,0
happiness/img_15205.png,happiness,2
happiness/img_3311.png,happiness,0
happiness/img_17772.png,happiness,2
happiness/img_4959.png,happiness,2
happiness/img_27128.png,happiness,2
happiness/img_11553.png,happiness,2
happiness/img_34375.png,happiness,0
happiness/img_1600.png,happiness,2
happiness/img_24540.png,happiness,0
happiness/img_8960.png,happiness,2
happiness/img_12539.png,happiness,2
happiness/img_26985.png,happiness,2
happiness/img_19441.png,happiness,1
happiness/img_23786.png,happiness,2
happiness/img_27695.png,happiness,2
happiness/img_25365.png,happiness,2
happiness/img_34882.png,happiness,0
happiness/img_31063.png,happiness,2
happiness/img_9180.png,happiness,0
happiness/img_5146.png,happiness,0
happiness/img_19850.png,happiness,0
happiness/img_7148.png,happiness,0
happiness/img_24047.png,happiness,0
happiness/img_21593.png,happiness,1
happiness/img_33068.png,happiness,2
happiness/img_8485.png,happiness,2
happiness/img_21289.png,happiness,2
happiness/img_20095.png,happiness,2
happiness/img_18297.png,happiness,0
happiness/img_285.png,happiness,2
happiness/img_16037.png,happiness,1
happiness/img_27777.png,happiness,0
happiness/img_13365.png,happiness,1
happiness/img_20239.png,happiness,0
happiness/img_15818.png,happiness,0
happiness/img_6329.png,happiness,0
happiness/img_17171.png,happiness,2
happiness/img_22299.png,happiness,2
happiness/img_27611.png,happiness,1
happiness/img_19449.png,happiness,0
happiness/img_25675.png,happiness,0
happiness/img_7986.png,happiness,2
happiness/img_21042.png,happiness,1
happiness/img_18929.png,happiness,0
happiness/img_3526.png,happiness,1
happiness/img_31620.png,happiness,2
happiness/img_21027.png,happiness,2
happiness/img_4067.png,happiness,1
happiness/img_22439.png,happiness,1
happiness/img_13053.png,happiness,2
happiness/img_17147.png,happiness,0
happiness/img_7206.png,happiness,0
happiness/img_19772.png,happiness,2
happiness/img_32047.png,happiness,2
happiness/img_12789.png,happiness,2
happiness/img_22560.png,happiness,2
happiness/img_1269.png,happiness,2
happiness/img_2323.png,happiness,2
happiness/S085_002_00000012.png,happiness,2
happiness/img_17948.png,happiness,2
happiness/img_17403.png,happiness,2
happiness/img_25907.png,happiness,2
happiness/img_14470.png,happiness,2
happiness/img_3131.png,happiness,1
happiness/img_7283.png,happiness,0
happiness/img_20460.png,happiness,1
happiness/img_14700.png,happiness,1
happiness/img_30291.png,happiness,2
happiness/img_12956.png,happiness,0
happiness/img_23800.png,happiness,2
happiness/img_15626.png,happiness,0
happiness/img_32728.png,happiness,2
happiness/img_27988.png,happiness,2
happiness/img_30201.png,happiness,1
happiness/img_6899.png,happiness,1
happiness/img_32899.png,happiness,0
happiness/img_7036.png,happiness,0
happiness/img_33006.png,happiness,1
happiness/img_4366.png,happiness,0
happiness/img_20838.png,happiness,2
happiness/img_21708.png,happiness,2
